match_no,stage,source_type,group_label,matchday,home_team_id,away_team_id,home_team_fifa_code,away_team_fifa_code,home_team_name,away_team_name,home_seed,away_seed,kickoff_local,kickoff_timezone,kickoff_utc,stadium_id,venue,fifa_venue_name,city,country,status,home_score,away_score,winner_team_id,source_match_oid
54,groups,group,B,3,sui,can,SUI,CAN,Switzerland,Canada,,,06/24/2026 12:00,America/Vancouver,2026-06-24T19:00:00.000Z,13,BC Place,BC Place Vancouver,Vancouver,Canada,open,,,,679c9c8a5749c4077500e054
55,groups,group,E,3,cuw,civ,CUW,CIV,Curaçao,Ivory Coast,,,06/25/2026 16:00,America/New_York,2026-06-25T20:00:00.000Z,10,Lincoln Financial Field,Philadelphia Stadium,Philadelphia,United States,open,,,,679c9c8a5749c4077500e055
56,groups,group,E,3,ecu,ger,ECU,GER,Ecuador,Germany,,,06/25/2026 16:00,America/New_York,2026-06-25T20:00:00.000Z,11,MetLife Stadium,New York/New Jersey Stadium,New York/New Jersey (East Rutherford),United States,open,,,,679c9c8a5749c4077500e056
57,groups,group,D,3,par,aus,PAR,AUS,Paraguay,Australia,,,06/25/2026 19:00,America/Los_Angeles,2026-06-26T02:00:00.000Z,15,Levi's Stadium,San Francisco Bay Area Stadium,San Francisco Bay Area (Santa Clara),United States,open,,,,679c9c8a5749c4077500e057
58,groups,group,D,3,tur,usa,TUR,USA,Turkey,United States,,,06/25/2026 19:00,America/Los_Angeles,2026-06-26T02:00:00.000Z,16,SoFi Stadium,Los Angeles Stadium,Los Angeles (Inglewood),United States,open,,,,679c9c8a5749c4077500e058
59,groups,group,F,3,jpn,swe,JPN,SWE,Japan,Sweden,,,06/25/2026 18:00,America/Chicago,2026-06-25T23:00:00.000Z,4,AT&T Stadium,Dallas Stadium,"Dallas (Arlington, Texas)",United States,open,,,,679c9c8a5749c4077500e059
60,groups,group,F,3,tun,ned,TUN,NED,Tunisia,Netherlands,,,06/25/2026 18:00,America/Chicago,2026-06-25T23:00:00.000Z,6,GEHA Field at Arrowhead Stadium,Kansas City Stadium,Kansas City,United States,open,,,,679c9c8a5749c4077500e060
61,groups,group,I,3,sen,irq,SEN,IRQ,Senegal,Iraq,,,06/26/2026 15:00,America/Toronto,2026-06-26T19:00:00.000Z,12,BMO Field,Toronto Stadium,Toronto,Canada,open,,,,679c9c8a5749c4077500e061
62,groups,group,I,3,nor,fra,NOR,FRA,Norway,France,,,06/26/2026 15:00,America/New_York,2026-06-26T19:00:00.000Z,9,Gillette Stadium,Boston Stadium,Boston (Foxborough),United States,open,,,,679c9c8a5749c4077500e062
63,groups,group,G,3,egy,irn,EGY,IRN,Egypt,Iran,,,06/26/2026 20:00,America/Los_Angeles,2026-06-27T03:00:00.000Z,14,Lumen Field,Seattle Stadium,Seattle,United States,open,,,,679c9c8a5749c4077500e063
64,groups,group,G,3,nzl,bel,NZL,BEL,New Zealand,Belgium,,,06/26/2026 20:00,America/Vancouver,2026-06-27T03:00:00.000Z,13,BC Place,BC Place Vancouver,Vancouver,Canada,open,,,,679c9c8a5749c4077500e064
65,groups,group,H,3,cpv,ksa,CPV,KSA,Cape Verde,Saudi Arabia,,,06/26/2026 19:00,America/Chicago,2026-06-27T00:00:00.000Z,5,NRG Stadium,Houston Stadium,Houston,United States,open,,,,679c9c8a5749c4077500e065
66,groups,group,H,3,uru,esp,URU,ESP,Uruguay,Spain,,,06/26/2026 18:00,America/Mexico_City,2026-06-27T00:00:00.000Z,2,Estadio Akron,Estadio Guadalajara,Guadalajara (Zapopan),Mexico,open,,,,679c9c8a5749c4077500e066
67,groups,group,L,3,pan,eng,PAN,ENG,Panama,England,,,06/27/2026 17:00,America/New_York,2026-06-27T21:00:00.000Z,11,MetLife Stadium,New York/New Jersey Stadium,New York/New Jersey (East Rutherford),United States,open,,,,679c9c8a5749c4077500e067
68,groups,group,L,3,cro,gha,CRO,GHA,Croatia,Ghana,,,06/27/2026 17:00,America/New_York,2026-06-27T21:00:00.000Z,10,Lincoln Financial Field,Philadelphia Stadium,Philadelphia,United States,open,,,,679c9c8a5749c4077500e068
69,groups,group,J,3,alg,aut,ALG,AUT,Algeria,Austria,,,06/27/2026 21:00,America/Chicago,2026-06-28T02:00:00.000Z,6,GEHA Field at Arrowhead Stadium,Kansas City Stadium,Kansas City,United States,open,,,,679c9c8a5749c4077500e069
70,groups,group,J,3,jor,arg,JOR,ARG,Jordan,Argentina,,,06/27/2026 21:00,America/Chicago,2026-06-28T02:00:00.000Z,4,AT&T Stadium,Dallas Stadium,"Dallas (Arlington, Texas)",United States,open,,,,679c9c8a5749c4077500e070
71,groups,group,K,3,col,por,COL,POR,Colombia,Portugal,,,06/27/2026 19:30,America/New_York,2026-06-27T23:30:00.000Z,8,Hard Rock Stadium,Miami Stadium,Miami (Miami Gardens),United States,open,,,,679c9c8a5749c4077500e071
72,groups,group,K,3,cod,uzb,COD,UZB,Democratic Republic of the Congo,Uzbekistan,,,06/27/2026 19:30,America/New_York,2026-06-27T23:30:00.000Z,7,Mercedes-Benz Stadium,Atlanta Stadium,Atlanta,United States,open,,,,679c9c8a5749c4077500e072
